,Sex,Age,Education,Food,MeanConsumption_total,5PercentileConsumption,50PercentileConsuption,95PercentileConsumption,ConsumptionDays,MeanConsumptiononConsumptionDays,5percentileConsumptiondays,50percentileConsumptiondays,95percentileConsumptiondays
1211,Female,19 to 30 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1212,Total male and female,31 to 50 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1213,Male,31 to 50 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1214,Female,31 to 50 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1215,Total male and female,51 to 70 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1216,Male,51 to 70 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1217,Female,51 to 70 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1218,Total male and female,71 to 79 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1219,Male,71 to 79 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1220,Female,71 to 79 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1221,Total male and female,1 to 79 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1222,Male,1 to 79 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1223,Female,1 to 79 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1224,Total male and female,1 to 18 years,Education: intermediate,0208. Stalk vegetables,0.3,0.0,0.0,0.4,3.2,8.4,0.4,2.8,31.0
1225,Male,1 to 18 years,Education: intermediate,0208. Stalk vegetables,0.3,0.0,0.0,0.3,3.1,8.4,0.4,4.0,30.0
1226,Female,1 to 18 years,Education: intermediate,0208. Stalk vegetables,0.3,0.0,0.0,0.4,3.2,8.3,0.4,2.8,40.0
1227,Total male and female,19 to 79 years,Education: intermediate,0208. Stalk vegetables,2.4,0.0,0.0,8.3,7.2,35.5,0.8,8.7,160.6
1228,Male,19 to 79 years,Education: intermediate,0208. Stalk vegetables,2.3,0.0,0.0,6.3,8.1,30.1,0.7,6.9,150.0
1229,Female,19 to 79 years,Education: intermediate,0208. Stalk vegetables,2.6,0.0,0.0,13.7,6.2,43.0,1.0,12.9,214.0
1230,Total male and female,1 to 3 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1231,Male,1 to 3 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1232,Female,1 to 3 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1233,Total male and female,4 to 8 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1234,Male,4 to 8 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1235,Female,4 to 8 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1236,Total male and female,9 to 13 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1237,Male,9 to 13 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1238,Female,9 to 13 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1239,Total male and female,14 to 18 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1240,Male,14 to 18 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1241,Female,14 to 18 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1242,Total male and female,19 to 30 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1243,Male,19 to 30 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1244,Female,19 to 30 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1245,Total male and female,31 to 50 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1246,Male,31 to 50 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1247,Female,31 to 50 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1248,Total male and female,51 to 70 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1249,Male,51 to 70 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1250,Female,51 to 70 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1251,Total male and female,71 to 79 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1252,Male,71 to 79 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1253,Female,71 to 79 years,Education: intermediate,0208. Stalk vegetables,,,,,,,,,
1254,Total male and female,1 to 79 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1255,Male,1 to 79 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1256,Female,1 to 79 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1257,Total male and female,1 to 18 years,Education: higher,0208. Stalk vegetables,0.9,0.0,0.0,1.9,4.0,22.7,0.7,10.7,88.1
1258,Male,1 to 18 years,Education: higher,0208. Stalk vegetables,0.9,0.0,0.0,2.3,4.0,21.5,0.7,13.4,81.1
1259,Female,1 to 18 years,Education: higher,0208. Stalk vegetables,1.0,0.0,0.0,1.9,4.0,24.1,0.8,10.7,96.8
1260,Total male and female,19 to 79 years,Education: higher,0208. Stalk vegetables,4.3,0.0,0.0,30.0,10.2,40.2,1.2,9.7,178.0
1261,Male,19 to 79 years,Education: higher,0208. Stalk vegetables,3.3,0.0,0.0,13.1,8.8,36.9,1.3,7.5,162.0
1262,Female,19 to 79 years,Education: higher,0208. Stalk vegetables,5.3,0.0,0.0,47.2,11.7,42.8,1.2,12.5,182.0
1263,Total male and female,1 to 3 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1264,Male,1 to 3 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1265,Female,1 to 3 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1266,Total male and female,4 to 8 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1267,Male,4 to 8 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1268,Female,4 to 8 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1269,Total male and female,9 to 13 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1270,Male,9 to 13 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1271,Female,9 to 13 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1272,Total male and female,14 to 18 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1273,Male,14 to 18 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1274,Female,14 to 18 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1275,Total male and female,19 to 30 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1276,Male,19 to 30 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1277,Female,19 to 30 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1278,Total male and female,31 to 50 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1279,Male,31 to 50 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1280,Female,31 to 50 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1281,Total male and female,51 to 70 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1282,Male,51 to 70 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1283,Female,51 to 70 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1284,Total male and female,71 to 79 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1285,Male,71 to 79 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1286,Female,71 to 79 years,Education: higher,0208. Stalk vegetables,,,,,,,,,
1287,Total male and female,1 to 79 years,Education: lower,03. Legumes,,,,,,,,,
1288,Male,1 to 79 years,Education: lower,03. Legumes,,,,,,,,,
1289,Female,1 to 79 years,Education: lower,03. Legumes,,,,,,,,,
1290,Total male and female,1 to 18 years,Education: lower,03. Legumes,2.7,0.0,0.0,20.9,3.3,81.5,18.5,74.0,272.9
1291,Male,1 to 18 years,Education: lower,03. Legumes,1.9,0.0,0.0,0.0,2.4,77.4,41.8,88.0,94.4
1292,Female,1 to 18 years,Education: lower,03. Legumes,3.7,0.0,0.0,25.0,4.2,83.9,18.5,50.0,272.9
1293,Total male and female,19 to 79 years,Education: lower,03. Legumes,4.7,0.0,0.0,40.4,3.7,128.5,37.5,106.2,291.7
1294,Male,19 to 79 years,Education: lower,03. Legumes,6.0,0.0,0.0,54.1,4.0,154.1,26.4,112.1,354.1
1295,Female,19 to 79 years,Education: lower,03. Legumes,3.5,0.0,0.0,40.0,3.5,104.3,37.5,90.0,225.0
1296,Total male and female,1 to 3 years,Education: lower,03. Legumes,,,,,,,,,
1297,Male,1 to 3 years,Education: lower,03. Legumes,,,,,,,,,
1298,Female,1 to 3 years,Education: lower,03. Legumes,,,,,,,,,
1299,Total male and female,4 to 8 years,Education: lower,03. Legumes,,,,,,,,,
1300,Male,4 to 8 years,Education: lower,03. Legumes,,,,,,,,,
1301,Female,4 to 8 years,Education: lower,03. Legumes,,,,,,,,,
1302,Total male and female,9 to 13 years,Education: lower,03. Legumes,,,,,,,,,
1303,Male,9 to 13 years,Education: lower,03. Legumes,,,,,,,,,
1304,Female,9 to 13 years,Education: lower,03. Legumes,,,,,,,,,
1305,Total male and female,14 to 18 years,Education: lower,03. Legumes,,,,,,,,,
1306,Male,14 to 18 years,Education: lower,03. Legumes,,,,,,,,,
1307,Female,14 to 18 years,Education: lower,03. Legumes,,,,,,,,,
1308,Total male and female,19 to 30 years,Education: lower,03. Legumes,,,,,,,,,
1309,Male,19 to 30 years,Education: lower,03. Legumes,,,,,,,,,
1310,Female,19 to 30 years,Education: lower,03. Legumes,,,,,,,,,
1311,Total male and female,31 to 50 years,Education: lower,03. Legumes,,,,,,,,,
1312,Male,31 to 50 years,Education: lower,03. Legumes,,,,,,,,,
1313,Female,31 to 50 years,Education: lower,03. Legumes,,,,,,,,,
1314,Total male and female,51 to 70 years,Education: lower,03. Legumes,,,,,,,,,
1315,Male,51 to 70 years,Education: lower,03. Legumes,,,,,,,,,
1316,Female,51 to 70 years,Education: lower,03. Legumes,,,,,,,,,
1317,Total male and female,71 to 79 years,Education: lower,03. Legumes,,,,,,,,,
1318,Male,71 to 79 years,Education: lower,03. Legumes,,,,,,,,,
1319,Female,71 to 79 years,Education: lower,03. Legumes,,,,,,,,,
1320,Total male and female,1 to 79 years,Education: intermediate,03. Legumes,,,,,,,,,
1321,Male,1 to 79 years,Education: intermediate,03. Legumes,,,,,,,,,
1322,Female,1 to 79 years,Education: intermediate,03. Legumes,,,,,,,,,
1323,Total male and female,1 to 18 years,Education: intermediate,03. Legumes,1.9,0.0,0.0,3.8,2.7,70.1,14.6,56.1,159.3
1324,Male,1 to 18 years,Education: intermediate,03. Legumes,2.6,0.0,0.0,14.1,3.4,76.1,7.6,70.8,220.8
1325,Female,1 to 18 years,Education: intermediate,03. Legumes,1.2,0.0,0.0,0.0,2.0,58.9,16.5,43.8,143.1
1326,Total male and female,19 to 79 years,Education: intermediate,03. Legumes,4.9,0.0,0.0,48.9,4.6,109.7,19.1,101.0,225.0
1327,Male,19 to 79 years,Education: intermediate,03. Legumes,4.9,0.0,0.0,50.3,4.0,122.3,19.1,118.0,232.3
1328,Female,19 to 79 years,Education: intermediate,03. Legumes,5.0,0.0,0.0,40.0,5.3,99.6,18.5,84.9,208.4
1329,Total male and female,1 to 3 years,Education: intermediate,03. Legumes,,,,,,,,,
1330,Male,1 to 3 years,Education: intermediate,03. Legumes,,,,,,,,,
1331,Female,1 to 3 years,Education: intermediate,03. Legumes,,,,,,,,,
1332,Total male and female,4 to 8 years,Education: intermediate,03. Legumes,,,,,,,,,
1333,Male,4 to 8 years,Education: intermediate,03. Legumes,,,,,,,,,
1334,Female,4 to 8 years,Education: intermediate,03. Legumes,,,,,,,,,
1335,Total male and female,9 to 13 years,Education: intermediate,03. Legumes,,,,,,,,,
1336,Male,9 to 13 years,Education: intermediate,03. Legumes,,,,,,,,,
1337,Female,9 to 13 years,Education: intermediate,03. Legumes,,,,,,,,,
1338,Total male and female,14 to 18 years,Education: intermediate,03. Legumes,,,,,,,,,
1339,Male,14 to 18 years,Education: intermediate,03. Legumes,,,,,,,,,
1340,Female,14 to 18 years,Education: intermediate,03. Legumes,,,,,,,,,
1341,Total male and female,19 to 30 years,Education: intermediate,03. Legumes,,,,,,,,,
1342,Male,19 to 30 years,Education: intermediate,03. Legumes,,,,,,,,,
1343,Female,19 to 30 years,Education: intermediate,03. Legumes,,,,,,,,,
1344,Total male and female,31 to 50 years,Education: intermediate,03. Legumes,,,,,,,,,
1345,Male,31 to 50 years,Education: intermediate,03. Legumes,,,,,,,,,
1346,Female,31 to 50 years,Education: intermediate,03. Legumes,,,,,,,,,
1347,Total male and female,51 to 70 years,Education: intermediate,03. Legumes,,,,,,,,,
1348,Male,51 to 70 years,Education: intermediate,03. Legumes,,,,,,,,,
1349,Female,51 to 70 years,Education: intermediate,03. Legumes,,,,,,,,,
1350,Total male and female,71 to 79 years,Education: intermediate,03. Legumes,,,,,,,,,
1351,Male,71 to 79 years,Education: intermediate,03. Legumes,,,,,,,,,
1352,Female,71 to 79 years,Education: intermediate,03. Legumes,,,,,,,,,
1353,Total male and female,1 to 79 years,Education: higher,03. Legumes,,,,,,,,,
1354,Male,1 to 79 years,Education: higher,03. Legumes,,,,,,,,,
1355,Female,1 to 79 years,Education: higher,03. Legumes,,,,,,,,,
1356,Total male and female,1 to 18 years,Education: higher,03. Legumes,2.9,0.0,0.0,24.5,4.1,72.0,14.5,58.9,175.0
1357,Male,1 to 18 years,Education: higher,03. Legumes,3.0,0.0,0.0,24.9,4.0,75.2,17.7,58.9,217.1
1358,Female,1 to 18 years,Education: higher,03. Legumes,2.9,0.0,0.0,21.1,4.3,68.8,13.8,57.4,150.0
1359,Total male and female,19 to 79 years,Education: higher,03. Legumes,5.7,0.0,0.0,48.5,5.4,113.0,13.6,99.9,300.0
1360,Male,19 to 79 years,Education: higher,03. Legumes,4.6,0.0,0.0,47.8,4.2,112.2,18.5,106.2,191.3
1361,Female,19 to 79 years,Education: higher,03. Legumes,6.9,0.0,0.0,48.5,6.6,113.6,11.8,89.2,400.0
1362,Total male and female,1 to 3 years,Education: higher,03. Legumes,,,,,,,,,
1363,Male,1 to 3 years,Education: higher,03. Legumes,,,,,,,,,
1364,Female,1 to 3 years,Education: higher,03. Legumes,,,,,,,,,
1365,Total male and female,4 to 8 years,Education: higher,03. Legumes,,,,,,,,,
1366,Male,4 to 8 years,Education: higher,03. Legumes,,,,,,,,,
1367,Female,4 to 8 years,Education: higher,03. Legumes,,,,,,,,,
1368,Total male and female,9 to 13 years,Education: higher,03. Legumes,,,,,,,,,
1369,Male,9 to 13 years,Education: higher,03. Legumes,,,,,,,,,
1370,Female,9 to 13 years,Education: higher,03. Legumes,,,,,,,,,
1371,Total male and female,14 to 18 years,Education: higher,03. Legumes,,,,,,,,,
1372,Male,14 to 18 years,Education: higher,03. Legumes,,,,,,,,,
1373,Female,14 to 18 years,Education: higher,03. Legumes,,,,,,,,,
1374,Total male and female,19 to 30 years,Education: higher,03. Legumes,,,,,,,,,
1375,Male,19 to 30 years,Education: higher,03. Legumes,,,,,,,,,
1376,Female,19 to 30 years,Education: higher,03. Legumes,,,,,,,,,
1377,Total male and female,31 to 50 years,Education: higher,03. Legumes,,,,,,,,,
1378,Male,31 to 50 years,Education: higher,03. Legumes,,,,,,,,,
1379,Female,31 to 50 years,Education: higher,03. Legumes,,,,,,,,,
1380,Total male and female,51 to 70 years,Education: higher,03. Legumes,,,,,,,,,
1381,Male,51 to 70 years,Education: higher,03. Legumes,,,,,,,,,
1382,Female,51 to 70 years,Education: higher,03. Legumes,,,,,,,,,
1383,Total male and female,71 to 79 years,Education: higher,03. Legumes,,,,,,,,,
1384,Male,71 to 79 years,Education: higher,03. Legumes,,,,,,,,,
1385,Female,71 to 79 years,Education: higher,03. Legumes,,,,,,,,,
1386,Total male and female,1 to 79 years,Education: lower,0301. Legumes,,,,,,,,,
1387,Male,1 to 79 years,Education: lower,0301. Legumes,,,,,,,,,
1388,Female,1 to 79 years,Education: lower,0301. Legumes,,,,,,,,,
1389,Total male and female,1 to 18 years,Education: lower,0301. Legumes,2.7,0.0,0.0,20.9,3.3,81.5,18.5,74.0,272.9
1390,Male,1 to 18 years,Education: lower,0301. Legumes,1.9,0.0,0.0,0.0,2.4,77.4,41.8,88.0,94.4
1391,Female,1 to 18 years,Education: lower,0301. Legumes,3.7,0.0,0.0,25.0,4.2,83.9,18.5,50.0,272.9
1392,Total male and female,19 to 79 years,Education: lower,0301. Legumes,4.7,0.0,0.0,40.4,3.7,128.5,37.5,106.2,291.7
1393,Male,19 to 79 years,Education: lower,0301. Legumes,6.0,0.0,0.0,54.1,4.0,154.1,26.4,112.1,354.1
1394,Female,19 to 79 years,Education: lower,0301. Legumes,3.5,0.0,0.0,40.0,3.5,104.3,37.5,90.0,225.0
1395,Total male and female,1 to 3 years,Education: lower,0301. Legumes,,,,,,,,,
1396,Male,1 to 3 years,Education: lower,0301. Legumes,,,,,,,,,
1397,Female,1 to 3 years,Education: lower,0301. Legumes,,,,,,,,,
1398,Total male and female,4 to 8 years,Education: lower,0301. Legumes,,,,,,,,,
1399,Male,4 to 8 years,Education: lower,0301. Legumes,,,,,,,,,
1400,Female,4 to 8 years,Education: lower,0301. Legumes,,,,,,,,,
1401,Total male and female,9 to 13 years,Education: lower,0301. Legumes,,,,,,,,,
1402,Male,9 to 13 years,Education: lower,0301. Legumes,,,,,,,,,
1403,Female,9 to 13 years,Education: lower,0301. Legumes,,,,,,,,,
1404,Total male and female,14 to 18 years,Education: lower,0301. Legumes,,,,,,,,,
1405,Male,14 to 18 years,Education: lower,0301. Legumes,,,,,,,,,
1406,Female,14 to 18 years,Education: lower,0301. Legumes,,,,,,,,,
1407,Total male and female,19 to 30 years,Education: lower,0301. Legumes,,,,,,,,,
1408,Male,19 to 30 years,Education: lower,0301. Legumes,,,,,,,,,
1409,Female,19 to 30 years,Education: lower,0301. Legumes,,,,,,,,,
1410,Total male and female,31 to 50 years,Education: lower,0301. Legumes,,,,,,,,,
1411,Male,31 to 50 years,Education: lower,0301. Legumes,,,,,,,,,
1412,Female,31 to 50 years,Education: lower,0301. Legumes,,,,,,,,,
1413,Total male and female,51 to 70 years,Education: lower,0301. Legumes,,,,,,,,,
1414,Male,51 to 70 years,Education: lower,0301. Legumes,,,,,,,,,
1415,Female,51 to 70 years,Education: lower,0301. Legumes,,,,,,,,,
1416,Total male and female,71 to 79 years,Education: lower,0301. Legumes,,,,,,,,,
1417,Male,71 to 79 years,Education: lower,0301. Legumes,,,,,,,,,
1418,Female,71 to 79 years,Education: lower,0301. Legumes,,,,,,,,,
1419,Total male and female,1 to 79 years,Education: intermediate,0301. Legumes,,,,,,,,,
1420,Male,1 to 79 years,Education: intermediate,0301. Legumes,,,,,,,,,
1421,Female,1 to 79 years,Education: intermediate,0301. Legumes,,,,,,,,,
1422,Total male and female,1 to 18 years,Education: intermediate,0301. Legumes,1.9,0.0,0.0,3.8,2.7,70.1,14.6,56.1,159.3
1423,Male,1 to 18 years,Education: intermediate,0301. Legumes,2.6,0.0,0.0,14.1,3.4,76.1,7.6,70.8,220.8
1424,Female,1 to 18 years,Education: intermediate,0301. Legumes,1.2,0.0,0.0,0.0,2.0,58.9,16.5,43.8,143.1
1425,Total male and female,19 to 79 years,Education: intermediate,0301. Legumes,4.9,0.0,0.0,48.9,4.6,109.7,19.1,101.0,225.0
1426,Male,19 to 79 years,Education: intermediate,0301. Legumes,4.9,0.0,0.0,50.3,4.0,122.3,19.1,118.0,232.3
1427,Female,19 to 79 years,Education: intermediate,0301. Legumes,5.0,0.0,0.0,40.0,5.3,99.6,18.5,84.9,208.4
1428,Total male and female,1 to 3 years,Education: intermediate,0301. Legumes,,,,,,,,,
1429,Male,1 to 3 years,Education: intermediate,0301. Legumes,,,,,,,,,
1430,Female,1 to 3 years,Education: intermediate,0301. Legumes,,,,,,,,,
1431,Total male and female,4 to 8 years,Education: intermediate,0301. Legumes,,,,,,,,,
1432,Male,4 to 8 years,Education: intermediate,0301. Legumes,,,,,,,,,
1433,Female,4 to 8 years,Education: intermediate,0301. Legumes,,,,,,,,,
1434,Total male and female,9 to 13 years,Education: intermediate,0301. Legumes,,,,,,,,,
1435,Male,9 to 13 years,Education: intermediate,0301. Legumes,,,,,,,,,
1436,Female,9 to 13 years,Education: intermediate,0301. Legumes,,,,,,,,,
1437,Total male and female,14 to 18 years,Education: intermediate,0301. Legumes,,,,,,,,,
1438,Male,14 to 18 years,Education: intermediate,0301. Legumes,,,,,,,,,
1439,Female,14 to 18 years,Education: intermediate,0301. Legumes,,,,,,,,,
1440,Total male and female,19 to 30 years,Education: intermediate,0301. Legumes,,,,,,,,,
1441,Male,19 to 30 years,Education: intermediate,0301. Legumes,,,,,,,,,
1442,Female,19 to 30 years,Education: intermediate,0301. Legumes,,,,,,,,,
1443,Total male and female,31 to 50 years,Education: intermediate,0301. Legumes,,,,,,,,,
1444,Male,31 to 50 years,Education: intermediate,0301. Legumes,,,,,,,,,
1445,Female,31 to 50 years,Education: intermediate,0301. Legumes,,,,,,,,,
1446,Total male and female,51 to 70 years,Education: intermediate,0301. Legumes,,,,,,,,,
1447,Male,51 to 70 years,Education: intermediate,0301. Legumes,,,,,,,,,
1448,Female,51 to 70 years,Education: intermediate,0301. Legumes,,,,,,,,,
